Year,Benin,Burkina Faso,Cabo Verde,Cote d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Senegal,Sierra Leone,Togo
1960,44.304,47.24,47.987,54.472,48.847,47.321,46.034,42.388,48.761,50.189,49.341,58.122,46.335,50.326,46.929,47.479
1961,44.733,47.215,47.618,54.017,48.652,47.521,45.853,42.18,48.811,50.132,49.071,58.194,46.287,50.292,47.138,47.568
1962,45.13,47.21,47.142,53.558,48.477,47.659,45.679,42.026,48.819,50.103,48.758,58.227,46.214,50.268,47.333,47.663
1963,45.489,47.229,46.557,53.112,48.329,47.726,45.523,41.924,48.789,50.099,48.423,58.214,46.123,50.251,47.496,47.757
1964,45.805,47.273,45.881,52.694,48.212,47.719,45.392,41.873,48.733,50.113,48.082,58.152,46.024,50.235,47.618,47.847
1965,46.075,47.332,45.137,52.316,48.118,47.634,45.296,41.868,48.666,50.143,47.75,58.037,45.94,50.214,47.695,47.93
1966,46.296,47.388,44.354,51.989,48.03,47.47,45.241,41.91,48.603,50.184,47.434,57.871,45.898,50.185,47.731,48.007
1967,46.476,47.429,43.571,51.708,47.933,47.236,45.227,41.999,48.557,50.233,47.13,57.663,45.913,50.143,47.742,48.079
1968,46.622,47.45,42.829,51.468,47.819,46.945,45.255,42.137,48.535,50.282,46.836,57.431,45.993,50.085,47.74,48.146
1969,46.739,47.456,42.157,51.265,47.691,46.607,45.328,42.328,48.54,50.326,46.552,57.187,46.133,50.009,47.729,48.202
1970,46.835,47.464,41.583,51.102,47.568,46.231,45.447,42.578,48.57,50.357,46.279,56.948,46.324,49.912,47.711,48.245
1971,46.919,47.502,41.12,50.98,47.474,45.826,45.615,42.894,48.618,50.369,46.012,56.733,46.546,49.793,47.683,48.271
1972,46.995,47.59,40.763,50.889,47.427,45.399,45.828,43.281,48.671,50.361,45.746,56.55,46.77,49.656,47.644,48.275
1973,47.066,47.734,40.505,50.81,47.434,44.965,46.076,43.736,48.715,50.331,45.476,56.409,46.97,49.502,47.594,48.254
1974,47.135,47.932,40.347,50.721,47.485,44.537,46.351,44.257,48.746,50.28,45.2,56.315,47.129,49.333,47.539,48.202
1975,47.202,48.169,40.294,50.589,47.55,44.135,46.646,44.856,48.761,50.208,44.915,56.274,47.233,49.162,47.488,48.115
1976,47.262,48.424,40.352,50.378,47.588,43.773,46.953,45.55,48.765,50.118,44.621,56.29,47.276,49.0,47.454,47.992
1977,47.309,48.668,40.507,50.072,47.565,43.455,47.265,46.327,48.76,50.015,44.32,56.351,47.263,48.849,47.442,47.832
1978,47.339,48.873,40.736,49.663,47.469,43.182,47.568,47.153,48.744,49.905,44.013,56.439,47.202,48.702,47.451,47.633
1979,47.348,49.022,41.016,49.156,47.303,42.952,47.852,47.979,48.711,49.79,43.703,56.539,47.094,48.545,47.478,47.392
1980,47.337,49.099,41.329,48.566,47.1,42.761,48.107,48.73,48.652,49.669,43.393,56.629,46.94,48.345,47.511,47.1
1981,47.306,49.092,41.661,47.92,46.908,42.603,48.325,49.322,48.555,49.539,43.087,56.682,46.741,48.062,47.533,46.751
1982,47.256,49.011,41.989,47.254,46.773,42.461,48.505,49.703,48.412,49.398,42.786,56.686,46.506,47.675,47.53,46.343
1983,47.188,48.871,42.282,46.603,46.719,42.317,48.643,49.846,48.218,49.25,42.492,56.634,46.243,47.176,47.492,45.879
1984,47.1,48.68,42.503,45.988,46.749,42.154,48.733,49.748,47.97,49.102,42.201,56.524,45.962,46.574,47.415,45.365
1985,46.991,48.457,42.616,45.422,46.844,41.951,48.768,49.432,47.659,48.966,41.907,56.366,45.671,45.895,47.302,44.801
1986,46.856,48.218,42.593,44.907,46.973,41.688,48.743,48.951,47.279,48.857,41.6,56.178,45.375,45.176,47.165,44.188
1987,46.693,47.982,42.418,44.434,47.085,41.36,48.662,48.387,46.839,48.782,41.273,55.983,45.079,44.465,47.015,43.537
1988,46.502,47.764,42.08,43.994,47.139,40.969,48.526,47.806,46.357,48.746,40.928,55.799,44.79,43.8,46.864,42.869
1989,46.281,47.574,41.561,43.588,47.111,40.523,48.339,47.243,45.853,48.744,40.57,55.633,44.516,43.201,46.712,42.208
1990,46.029,47.417,40.828,43.224,46.981,40.038,48.103,46.71,45.364,48.769,40.212,55.485,44.265,42.678,46.558,41.585
1991,45.745,47.296,39.848,42.906,46.738,39.54,47.82,46.2,44.931,48.805,39.87,55.351,44.044,42.228,46.394,41.031
1992,45.432,47.197,38.641,42.635,46.399,39.053,47.497,45.685,44.576,48.837,39.558,55.218,43.853,41.827,46.212,40.564
1993,45.093,47.109,37.246,42.404,45.986,38.594,47.142,45.148,44.306,48.852,39.286,55.074,43.69,41.457,46.006,40.194
1994,44.733,47.026,35.717,42.205,45.515,38.168,46.761,44.597,44.115,48.847,39.056,54.914,43.556,41.109,45.774,39.926
1995,44.356,46.939,34.126,42.029,45.009,37.77,46.362,44.047,43.982,48.826,38.865,54.734,43.449,40.776,45.52,39.762
1996,43.965,46.843,32.556,41.864,44.489,37.382,45.948,43.516,43.871,48.801,38.706,54.534,43.369,40.449,45.25,39.695
1997,43.564,46.732,31.076,41.699,43.978,36.986,45.523,43.021,43.737,48.783,38.564,54.314,43.308,40.129,44.97,39.697
1998,43.161,46.601,29.74,41.519,43.497,36.567,45.089,42.572,43.544,48.776,38.427,54.076,43.259,39.818,44.682,39.737
1999,42.76,46.442,28.581,41.315,43.061,36.126,44.651,42.174,43.273,48.779,38.287,53.82,43.211,39.519,44.383,39.791
2000,42.371,46.253,27.608,41.069,42.682,35.671,44.21,41.828,42.914,48.784,38.14,53.541,43.156,39.246,44.073,39.833
2001,42.002,46.031,26.8,40.77,42.366,35.214,43.766,41.529,42.468,48.785,37.984,53.24,43.083,39.014,43.749,39.842
2002,41.654,45.778,26.099,40.419,42.101,34.772,43.318,41.262,41.958,48.767,37.824,52.915,42.989,38.834,43.402,39.805
2003,41.326,45.495,25.46,40.026,41.875,34.358,42.866,41.01,41.406,48.714,37.66,52.568,42.868,38.707,43.023,39.714
2004,41.018,45.176,24.866,39.599,41.683,33.979,42.411,40.765,40.821,48.613,37.492,52.202,42.717,38.626,42.604,39.555
2005,40.726,44.817,24.314,39.159,41.52,33.64,41.956,40.518,40.213,48.444,37.325,51.82,42.537,38.583,42.126,39.321
2006,40.445,44.407,23.813,38.728,41.381,33.345,41.501,40.264,39.588,48.191,37.161,51.428,42.333,38.566,41.573,39.007
2007,40.167,43.946,23.373,38.325,41.259,33.084,41.048,40.0,38.95,47.853,37.003,51.029,42.111,38.553,40.941,38.626
2008,39.884,43.438,22.995,37.965,41.142,32.846,40.598,39.722,38.309,47.434,36.845,50.625,41.874,38.519,40.236,38.193
2009,39.59,42.89,22.667,37.655,41.02,32.619,40.153,39.421,37.674,46.939,36.683,50.217,41.62,38.446,39.473,37.717
2010,39.278,42.314,22.37,37.395,40.881,32.385,39.713,39.089,37.053,46.379,36.502,49.802,41.341,38.306,38.675,37.207
2011,38.945,41.721,22.084,37.18,40.716,32.127,39.278,38.714,36.451,45.769,36.288,49.374,41.025,38.077,37.872,36.673
2012,38.591,41.127,21.792,36.991,40.522,31.834,38.848,38.298,35.872,45.129,36.032,48.929,40.668,37.757,37.092,36.125
2013,38.219,40.543,21.477,36.812,40.295,31.5,38.422,37.841,35.316,44.482,35.729,48.466,40.267,37.352,36.356,35.574
2014,37.831,39.979,21.132,36.63,40.029,31.125,38.0,37.346,34.789,43.843,35.381,47.988,39.828,36.867,35.677,35.032
2015,37.432,39.437,20.754,36.438,39.719,30.714,37.583,36.819,34.297,43.226,34.991,47.502,39.359,36.318,35.055,34.51
2016,37.027,38.92,20.345,36.225,39.363,30.28,37.171,36.265,33.843,42.638,34.569,47.017,38.873,35.727,34.483,34.016
2017,36.621,38.419,19.919,35.993,38.967,29.839,36.765,35.697,33.426,42.078,34.132,46.54,38.384,35.12,33.939,33.55
