Year,Benin,Burkina Faso,Cabo Verde,Cote d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Senegal,Sierra Leone,Togo
1960,28.847,28.562,20.396,28.627,31.123,18.464,29.661,25.761,29.444,36.838,19.87,28.885,26.381,26.023,32.3,24.13
1961,28.286,28.147,20.011,27.694,30.754,18.19,29.277,25.481,29.205,36.606,19.36,28.881,25.941,25.815,32.054,23.516
1962,27.731,27.735,19.545,26.792,30.342,17.928,28.925,25.198,28.901,36.335,18.841,28.876,25.519,25.683,31.789,22.93
1963,27.172,27.325,18.999,25.934,29.872,17.674,28.606,24.913,28.527,36.004,18.324,28.868,25.119,25.62,31.493,22.368
1964,26.606,26.918,18.381,25.126,29.337,17.426,28.316,24.63,28.088,35.604,17.818,28.853,24.742,25.604,31.158,21.825
1965,26.036,26.516,17.718,24.362,28.729,17.181,28.055,24.353,27.593,35.128,17.337,28.827,24.388,25.605,30.781,21.299
1966,25.476,26.123,17.043,23.626,28.05,16.94,27.819,24.09,27.059,34.577,16.895,28.788,24.055,25.587,30.366,20.787
1967,24.94,25.741,16.386,22.899,27.314,16.701,27.6,23.844,26.507,33.967,16.495,28.732,23.737,25.514,29.924,20.289
1968,24.437,25.371,15.769,22.167,26.538,16.465,27.388,23.617,25.952,33.316,16.14,28.657,23.427,25.354,29.469,19.804
1969,23.967,25.009,15.202,21.43,25.739,16.229,27.174,23.41,25.405,32.635,15.828,28.561,23.12,25.086,29.008,19.332
1970,23.525,24.653,14.672,20.695,24.932,15.992,26.949,23.222,24.867,31.937,15.551,28.442,22.81,24.687,28.547,18.87
1971,23.099,24.3,14.154,19.973,24.133,15.752,26.706,23.048,24.332,31.233,15.301,28.304,22.491,24.144,28.088,18.418
1972,22.679,23.944,13.622,19.282,23.353,15.508,26.441,22.883,23.79,30.531,15.062,28.147,22.163,23.478,27.636,17.975
1973,22.256,23.575,13.064,18.632,22.6,15.26,26.151,22.722,23.24,29.835,14.822,27.972,21.826,22.714,27.194,17.543
1974,21.827,23.186,12.485,18.03,21.882,15.012,25.834,22.56,22.686,29.152,14.57,27.779,21.48,21.876,26.77,17.12
1975,21.397,22.754,11.91,17.475,21.2,14.766,25.489,22.395,22.133,28.482,14.301,27.563,21.127,20.995,26.368,16.704
1976,20.978,22.258,11.37,16.963,20.546,14.529,25.121,22.229,21.588,27.817,14.01,27.315,20.766,20.104,25.989,16.294
1977,20.578,21.694,10.897,16.484,19.912,14.304,24.733,22.061,21.06,27.153,13.701,27.035,20.404,19.232,25.637,15.89
1978,20.198,21.072,10.51,16.032,19.29,14.092,24.328,21.891,20.564,26.487,13.379,26.725,20.05,18.401,25.314,15.494
1979,19.836,20.409,10.213,15.606,18.682,13.889,23.902,21.713,20.113,25.823,13.046,26.391,19.713,17.625,25.027,15.106
1980,19.477,19.739,9.998,15.205,18.09,13.691,23.444,21.524,19.725,25.17,12.704,26.05,19.408,16.9,24.783,14.727
1981,19.105,19.1,9.85,14.831,17.519,13.49,22.94,21.318,19.42,24.537,12.353,25.718,19.149,16.21,24.587,14.358
